,Features
0,isolate
1,KP0228_00009
2,KP0228_00023
3,KP0228_00028
4,KP0228_00031
5,KP0228_00036
6,KP0228_00046
7,KP0228_00056
8,KP0228_00058
9,KP0228_00063
10,KP0228_00084
11,KP0228_00094
12,KP0228_00108
13,KP0228_00121
14,KP0228_00126
15,KP0228_00137
16,KP0228_00159
17,KP0228_00197
18,KP0228_00204
19,KP0228_00205
20,KP0228_00224
21,KP0228_00228
22,KP0228_00229
23,KP0228_00230
24,KP0228_00231
25,KP0228_00234
26,KP0228_00247
27,KP0228_00250
28,KP0228_00252
29,KP0228_00274
30,KP0228_00280
31,KP0228_00290
32,KP0228_00299
33,KP0228_00300
34,KP0228_00304
35,KP0228_00305
36,KP0228_00310
37,KP0228_00317
38,KP0228_00320
39,KP0228_00327
40,KP0228_00331
41,KP0228_00360
42,KP0228_00381
43,KP0228_00384
44,KP0228_00386
45,KP0228_00390
46,KP0228_00398
47,KP0228_00450
48,KP0228_00463
49,KP0228_00472
50,KP0228_00481
51,KP0228_00490
52,KP0228_00494
53,KP0228_00495
54,KP0228_00496
55,KP0228_00497
56,KP0228_00498
57,KP0228_00500
58,KP0228_00502
59,KP0228_00505
60,KP0228_00513
61,KP0228_00515
62,KP0228_00558
63,KP0228_00563
64,KP0228_00566
65,KP0228_00570
66,KP0228_00582
67,KP0228_00589
68,KP0228_00590
69,KP0228_00595
70,KP0228_00603
71,KP0228_00651
72,KP0228_00652
73,KP0228_00656
74,KP0228_00730
75,KP0228_00733
76,KP0228_00759
77,KP0228_00760
78,KP0228_00761
79,KP0228_00764
80,KP0228_00766
81,KP0228_00768
82,KP0228_00769
83,KP0228_00787
84,KP0228_00798
85,KP0228_00799
86,KP0228_00801
87,KP0228_00817
88,KP0228_00818
89,KP0228_00838
90,KP0228_00847
91,KP0228_00885
92,KP0228_00890
93,KP0228_00902
94,KP0228_00906
95,KP0228_00911
96,KP0228_00916
97,KP0228_00922
98,KP0228_00923
99,KP0228_00925
100,KP0228_00926
101,KP0228_00931
102,KP0228_00933
103,KP0228_00935
104,KP0228_00936
105,KP0228_00943
106,KP0228_00946
107,KP0228_00954
108,KP0228_00976
109,KP0228_00983
110,KP0228_00985
111,KP0228_00991
112,KP0228_01001
113,KP0228_01012
114,KP0228_01016
115,KP0228_01018
116,KP0228_01053
117,KP0228_01060
118,KP0228_01076
119,KP0228_01094
120,KP0228_01118
121,KP0228_01119
122,KP0228_01204
123,KP0228_01205
124,KP0228_01206
125,KP0228_01223
126,KP0228_01227
127,KP0228_01234
128,KP0228_01249
129,KP0228_01255
130,KP0228_01259
131,KP0228_01260
132,KP0228_01262
133,KP0228_01266
134,KP0228_01272
135,KP0228_01275
136,KP0228_01335
137,KP0228_01336
138,KP0228_01339
139,KP0228_01353
140,KP0228_01354
141,KP0228_01355
142,KP0228_01357
143,KP0228_01362
144,KP0228_01371
145,KP0228_01390
146,KP0228_01399
147,KP0228_01414
148,KP0228_01419
